id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
135561,Dahlstedtia grandiflora (A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135561,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2023,true
135563,Dahlstedtia peckoltii (Wawra) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135563,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,false
135640,Freziera carinata A.L. Weitzman,Pentaphylacaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135640,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",2020,false
135861,Pachira moreirae Carv.-Sobr. & W. S. Alverson,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135861,CR,"B2ab(i,ii,iii,iv,v)",2018,false
135964,Dioscorea pedalis (Uline ex R. Knuth) R. Couto & J. M. A. Braga,Dioscoreaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135964,VU,D2,2017,false
135965,Dioscorea sphaeroidea R. Couto & J. M. A. Braga,Dioscoreaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135965,CR,"B2ab(ii,iii,iv);C2a(ii)",2017,false
135999,Eriotheca bahiensis M.C.Duarte & G.L.Esteves,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135999,EN,"B1ab(i,iii)+2ab(ii,iii)",2018,false
136002,Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136002,EN,"B2ab(ii,iii)",2018,false
136110,Jamesonia biardii (Fée) Christenh.,Pteridaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136110,EN,B1ab(iii),2012,false
136111,Jamesonia cheilanthoides (Sw.) Christenh.,Pteridaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136111,EN,B2ab(iii),2012,false
136112,Jamesonia rufescens (Fée) Christenh.,Pteridaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136112,CR,B2ab(iii),2012,false
136113,Jamesonia insignis (Mett.) Christenh.,Pteridaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136113,EN,B2ab(iii),2012,false
136278,Ouratea cauliflora Fraga & Saavedra,Ochnaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136278,VU,D2,2018,false
136780,Bursera pereirae Daly,Burseraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136780,EN,"B1ab(i,iii)+2ab(ii,iii)",2018,false
136872,Ocotea marumbiensis Brotto & Baitello,Lauraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB136872,EN,B2ab(iii),2018,false
137677,Tachigali acrensis van der Werff,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB137677,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2020,false
